document_id,citation_de,citations_list
4153933,4074027,['4074027']
1422712,1422709,['1422709']
6059,3853484,['3853484']
1355921,3900906,['3900906']
562835,38831,['38831']
58119,4190376,['4190376']
1279191,148742; 3212699,['148742']
4061433,3970956,['3970956']
1546843,4188535,['4188535']
3306184,3306185; 3239015,['3306185']
7557728,2238684,['2238684']
6201412,5879822,['5879822']
1339542,4109438,['4109438']
5692790,5043549,['5043549']
1135923,1135924,['1135924']
5485798,5120651,['5120651']
1047467,816116,['816116']
4146995,4069724,['4069724']
4150466,4134281,['4134281']
227257,64319,['64319']
701382,4032585,['4032585']
1322762,194168,['194168']
1819906,991628,['991628']
5195181,2223877,['2223877']
6043915,5286432,['5286432']
5567180,5541245,['5541245']
4218517,4009490,['4009490']
1149174,1149177,['1149177']
2074316,4032093,['4032093']
5238751,1961607,['1961607']
641400,4016152,['4016152']
4156673,4154651,['4154651']
5706294,4040792,['4040792']
4071707,3942254,['3942254']
1643887,912477,['912477']
4107107,4021212; 3989414,['3989414']
6817531,5549885,['5549885']
2104165,2084048,['2084048']
6101405,6217784,['6217784']
1009449,818397,['818397']
3888822,3888821,['3888821']
4151099,3883040,['3883040']
5654099,2186343,['2186343']
205630,3960002,['3960002']
5657188,739000,['739000']
5027313,2104794,['2104794']
6848263,509931,['509931']
1127538,936558,['936558']
2107541,1537278,['1537278']
5244270,495373,['495373']
5908252,5161788,['5161788']
815669,815653,['815653']
1241213,782649,['782649']
6367513,6272367,['6272367']
5359373,1219612; 3708568,['1219612']
1390434,57733,['57733']
1744367,1573044,['1573044']
4175516,4175515,['4175515']
5652504,1149552,['1149552']
3199982,3087160; 3109775; 3120378,"['3087160', '3109775', '3120378']"
1526346,4073815,['4073815']
1586414,1548360,['1548360']
5841405,5548908,['5548908']
5488036,5202073,['5202073']
2107162,3842849; 2107163,"['3842849', '2107163']"
5021409,1626199,['1626199']
2231211,1441958,['1441958']
1703273,1688838,['1688838']
6370528,5692501,['5692501']
4050492,3975822,['3975822']
3958251,3957004,['3957004']
827913,3223856,['3223856']
1230625,867896,['867896']
7202589,6553492,['6553492']
5134785,1326481,['1326481']
1439689,1374600; 1492884,"['1374600', '1492884']"
29844,4100010,['4100010']
1334521,1135963,['1135963']
871843,871842,['871842']
5120455,2204256,['2204256']
5500759,4034347,['4034347']
5051287,1700773,['1700773']
1330901,645191,['645191']
219951,4175467,['4175467']
1792287,3974960,['3974960']
4005045,3893912,['3893912']
1179904,932039,['932039']
2097115,1873437,['1873437']
6269913,6339883,['6339883']
919456,4042802,['4042802']
6092076,5865193,['5865193']
556335,556334,['556334']
46663,3804795; 50452,['50452']
1268663,1271025,['1271025']
4199103,4036769,['4036769']
7512694,6656487,['6656487']
1104028,4130630,['4130630']
96122,4181752,['4181752']
4160727,4051616; 4160726,['4160726']
621896,68310; 39850,"['68310', '39850']"
778230,4173154,['4173154']
1367756,830065,['830065']
558648,9568,['9568']
1200997,941242,['941242']
1547336,1158899,['1158899']
3999151,3986325,['3986325']
278945,4204690,['4204690']
20554,4171494,['4171494']
6008057,6008056,['6008056']
4186029,4046126,['4046126']
6545348,6589410,['6589410']
5315378,5168604,['5168604']
148274,95462,['95462']
5851345,1891650,['1891650']
2219575,2142534,['2142534']
943380,3993694,['3993694']
1932156,911863,['911863']
637488,611074; 637487,"['611074', '637487']"
1289955,944360,['944360']
6202526,5863646,['5863646']
6126773,5550220,['5550220']
819271,4030272,['4030272']
4047730,4002099,['4002099']
1005658,774690,['774690']
2108218,816230,['816230']
1557723,1372595,['1372595']
1640177,1377894,['1377894']
5990540,5494684,['5494684']
711496,497615,['497615']
68365,54786,['54786']
799737,4192368; 706684,"['4192368', '706684']"
7463748,6722940,['6722940']
4084555,4028395,['4028395']
1625162,32106,['32106']
6137591,2662170,['2662170']
1581771,48994; 53382; 3923134; 3384421,"['48994', '53382', '3923134']"
179589,168231,['168231']
5209622,1313733,['1313733']
4188621,4122731; 4149034,"['4122731', '4149034']"
5555797,5499282,['5499282']
4067132,4067131,['4067131']
5902091,2157791,['2157791']
22754,4190007,['4190007']
54540,4057827; 4202609,"['4057827', '4202609']"
2125266,4153232,['4153232']
4127287,4041989,['4041989']
